Date,Close,High,Low,Open,Volume
2021-02-02,132.0006561279297,133.29141701118044,131.62906644112428,132.72425930217142,83305400
2021-02-03,130.97390747070312,132.76338399842402,130.6512135144698,132.75359589858172,89880900
2021-02-04,134.34751892089844,134.35729210091307,131.6095215073622,133.28166038476758,84183100
2021-02-05,133.9312744140625,134.57762667448057,133.04989583580434,134.50908231283685,75693800
2021-02-08,134.0782012939453,134.1271700987044,132.12935643271075,133.21639814836522,71297200
2021-02-09,133.19680786132812,135.0281395487588,133.0401286062898,133.79419141675652,76774200
2021-02-10,132.5896453857422,134.1565575863222,131.6201167805253,133.65709666400645,73046600
2021-02-11,132.3349609375,133.56889357879754,131.00309072997703,133.0890234133723,64280000
2021-02-12,132.57005310058594,132.7267473071844,130.92480876084792,131.57116115568016,60145100
2021-02-16,130.43511962890625,133.19678338492807,130.0433842053432,132.6875497490638,80576300
2021-02-17,128.13372802734375,129.48518916522133,126.79206961510138,128.53525125572466,97918500
2021-02-18,127.02713012695312,127.31112529299145,124.77469953697927,126.52766922562903,96856700
2021-02-19,127.18377685546875,128.00641373453934,126.13591640114336,127.54613397306122,87668800
2021-02-22,123.39382934570312,127.03688645517336,123.00210140901802,125.36224933905483,103916400
2021-02-23,123.25672912597656,124.0891463449037,115.94123641529885,121.2001667405127,158273000
2021-02-24,122.75727844238281,122.96293393818705,119.70181682290355,122.35576270436196,111039900
2021-02-25,118.48746490478516,123.8443257123782,118.04677560357413,122.10114407243823,148199500
2021-02-26,118.75186920166016,122.26761032025816,118.69310515655154,120.05435390141363,164560400
2021-03-01,125.14682006835938,125.28392374079455,120.25023899113235,121.19038166136916,116307900
2021-03-02,122.53203582763672,126.05757237117307,122.42431045653072,125.75398676437746,102260900
2021-03-03,119.53533935546875,123.10984517040185,119.31988858452522,122.22845904908286,112966300
2021-03-04,117.64525604248047,121.04348455668053,116.16649391444423,119.23175102515427,178155000
2021-03-05,118.90857696533203,119.41782559806704,115.13821090718523,118.47768289716012,153766600
2021-03-08,113.95323944091797,118.49726624291924,113.80634050910875,118.42871440428695,154376600
2021-03-09,118.58538818359375,119.53532603787087,116.33296553737974,116.56799931968267,129525800
2021-03-10,117.49835205078125,119.64304928541645,116.97930822801749,119.17298172916317,111943300
